Age,Gender,Region,Industry,Work_Arrangement,Hours_Per_Week,Burnout_Level,Work_Life_Balance_Score,Social_Isolation_Score,Avg_Salary,Physical_Health_Count,Mental_Health_Score
27,Female,Asia,Professional Services,Onsite,64,3,3,2,50000.0,2,2
37,Female,Asia,Professional Services,Onsite,37,3,4,2,90000.0,1,2
32,Female,Africa,Education,Onsite,36,3,3,2,90000.0,2,1
40,Female,Europe,Education,Onsite,63,2,1,2,70000.0,2,1
30,Male,South America,Manufacturing,Hybrid,65,2,5,4,70000.0,0,0
52,Male,Oceania,Customer Service,Onsite,61,2,4,3,70000.0,2,4
50,Female,Asia,Manufacturing,Onsite,62,2,4,2,90000.0,3,0
30,Female,South America,Technology,Remote,47,2,2,4,70000.0,1,3
37,Female,Asia,Finance,Onsite,55,2,5,1,70000.0,1,4
42,Female,Asia,Professional Services,Onsite,38,3,3,2,110000.0,1,0
64,Male,North America,Technology,Remote,35,2,3,4,50000.0,2,1
25,Female,Oceania,Technology,Hybrid,57,3,2,1,90000.0,2,4
37,Male,Europe,Finance,Remote,59,3,5,5,70000.0,3,3
50,Male,Europe,Professional Services,Remote,64,2,1,4,70000.0,0,4
42,Female,South America,Retail,Onsite,54,3,5,2,120000.0,3,3
30,Male,Oceania,Professional Services,Hybrid,36,3,3,2,70000.0,1,3
36,Female,Africa,Customer Service,Onsite,63,2,3,2,70000.0,1,0
50,Male,North America,Education,Onsite,51,1,4,5,110000.0,2,2
27,Female,Africa,Healthcare,Remote,43,2,1,4,90000.0,0,0
36,Female,Africa,Manufacturing,Remote,41,3,5,3,110000.0,3,6
57,Male,Africa,Retail,Onsite,57,3,3,3,70000.0,2,4
37,Male,South America,Manufacturing,Remote,58,3,1,5,70000.0,1,1
26,Female,South America,Customer Service,Hybrid,59,2,2,5,50000.0,2,2
55,Male,Africa,Professional Services,Onsite,51,3,4,4,90000.0,1,6
59,Male,Africa,Education,Onsite,53,2,3,1,70000.0,0,3
59,Male,Oceania,Finance,Remote,45,3,2,3,90000.0,4,3
23,Male,North America,Professional Services,Onsite,63,2,3,2,70000.0,2,2
57,Female,Oceania,Customer Service,Remote,41,2,3,3,120000.0,3,5
59,Male,South America,Retail,Onsite,48,3,3,3,70000.0,1,3
22,Female,North America,Manufacturing,Hybrid,47,3,4,1,70000.0,1,3
25,Male,Africa,Professional Services,Onsite,49,1,3,2,110000.0,4,6
54,Female,South America,Customer Service,Hybrid,45,2,1,1,90000.0,2,0
27,Male,Europe,Education,Onsite,44,2,3,3,90000.0,3,5
47,Female,Europe,Professional Services,Onsite,50,3,3,4,50000.0,1,4
39,Male,North America,Manufacturing,Onsite,59,1,5,2,70000.0,2,3
62,Female,Asia,Education,Remote,60,2,4,5,120000.0,2,2
42,Male,Europe,Technology,Remote,43,1,3,4,70000.0,2,1
26,Male,South America,Manufacturing,Hybrid,65,3,2,1,70000.0,2,6
29,Female,Africa,Technology,Hybrid,55,2,2,3,90000.0,2,0
31,Female,Africa,Technology,Hybrid,42,3,2,4,110000.0,3,6
42,Female,South America,Healthcare,Onsite,60,3,3,3,70000.0,3,5
33,Female,North America,Manufacturing,Onsite,43,2,2,3,70000.0,2,0
50,Male,Oceania,Healthcare,Onsite,53,3,3,2,90000.0,0,0
65,Female,Europe,Education,Onsite,61,1,4,1,50000.0,4,4
40,Male,North America,Professional Services,Remote,62,2,4,2,70000.0,2,2
22,Female,Asia,Customer Service,Hybrid,64,2,1,3,90000.0,0,1
58,Male,Oceania,Technology,Hybrid,65,2,3,4,90000.0,1,6
51,Female,Europe,Finance,Hybrid,60,1,2,3,90000.0,2,4
40,Female,Asia,Professional Services,Remote,62,3,1,1,90000.0,0,0
62,Female,Africa,Technology,Remote,46,3,1,4,110000.0,3,5
50,Male,South America,Technology,Onsite,42,3,4,1,50000.0,3,1
41,Female,North America,Retail,Hybrid,45,3,5,3,50000.0,2,1
25,Female,North America,Healthcare,Onsite,65,3,3,2,90000.0,1,4
44,Female,South America,Retail,Onsite,48,1,5,3,90000.0,3,0
29,Male,Asia,Manufacturing,Onsite,38,3,4,3,90000.0,2,5
53,Female,North America,Marketing,Onsite,56,3,1,2,90000.0,2,1
48,Female,North America,Professional Services,Remote,56,1,3,3,90000.0,1,6
27,Male,Europe,Professional Services,Hybrid,39,3,2,2,90000.0,3,0
49,Male,Asia,Professional Services,Hybrid,56,2,3,2,70000.0,4,1
49,Female,Africa,Marketing,Onsite,45,1,2,2,90000.0,2,5
31,Female,North America,Technology,Remote,45,2,3,2,90000.0,1,1
27,Female,North America,Professional Services,Onsite,36,2,2,2,110000.0,3,2
40,Male,North America,Technology,Remote,50,1,1,3,70000.0,2,0
39,Female,North America,Technology,Hybrid,54,3,2,3,70000.0,2,5
40,Male,South America,Retail,Onsite,36,2,3,1,110000.0,1,1
37,Male,Oceania,Finance,Hybrid,37,1,4,2,90000.0,2,0
39,Male,Europe,Technology,Hybrid,55,2,4,2,70000.0,3,4
22,Male,Oceania,Technology,Onsite,43,2,1,2,70000.0,3,2
53,Male,Africa,Education,Onsite,47,1,2,5,50000.0,3,2
